epoch	train_mse	test_mse	test_accuracy
323	0.247892	0.247342	0.5488
324	0.247891	0.247340	0.5488
325	0.247890	0.247339	0.5488
326	0.247888	0.247338	0.5488
327	0.247887	0.247336	0.5488
328	0.247886	0.247335	0.5488
329	0.247885	0.247334	0.5488
330	0.247883	0.247332	0.5488
331	0.247882	0.247331	0.5488
332	0.247881	0.247329	0.5488
333	0.247880	0.247328	0.5488
334	0.247878	0.247327	0.5488
335	0.247877	0.247325	0.5488
336	0.247876	0.247324	0.5488
337	0.247875	0.247322	0.5488
338	0.247873	0.247321	0.5488
339	0.247872	0.247320	0.5488
340	0.247871	0.247318	0.5488
341	0.247870	0.247317	0.5488
342	0.247868	0.247315	0.5488
343	0.247867	0.247314	0.5488
344	0.247866	0.247313	0.5488
345	0.247865	0.247311	0.5488
346	0.247863	0.247310	0.5488
347	0.247862	0.247308	0.5488
348	0.247861	0.247307	0.5488
349	0.247860	0.247306	0.5488
350	0.247858	0.247304	0.5488
351	0.247857	0.247303	0.5488
352	0.247856	0.247301	0.5488
353	0.247855	0.247300	0.5488
354	0.247853	0.247299	0.5488
355	0.247852	0.247297	0.5488
356	0.247851	0.247296	0.5488
357	0.247850	0.247294	0.5488
358	0.247848	0.247293	0.5488
359	0.247847	0.247292	0.5488
360	0.247846	0.247290	0.5488
361	0.247844	0.247289	0.5488
362	0.247843	0.247287	0.5488
363	0.247842	0.247286	0.5488
364	0.247841	0.247285	0.5488
365	0.247839	0.247283	0.5488
366	0.247838	0.247282	0.5488
367	0.247837	0.247280	0.5488
368	0.247835	0.247279	0.5488
369	0.247834	0.247278	0.5488
370	0.247833	0.247276	0.5488
371	0.247832	0.247275	0.5488
372	0.247830	0.247273	0.5488
373	0.247829	0.247272	0.5488
374	0.247828	0.247270	0.5488
375	0.247826	0.247269	0.5488
376	0.247825	0.247268	0.5488
377	0.247824	0.247266	0.5488
378	0.247823	0.247265	0.5488
379	0.247821	0.247263	0.5488
380	0.247820	0.247262	0.5488
381	0.247819	0.247260	0.5488
382	0.247817	0.247259	0.5488
383	0.247816	0.247258	0.5488
384	0.247815	0.247256	0.5488
385	0.247813	0.247255	0.5488
386	0.247812	0.247253	0.5488
387	0.247811	0.247252	0.5488
388	0.247810	0.247250	0.5488
389	0.247808	0.247249	0.5488
390	0.247807	0.247248	0.5488
391	0.247806	0.247246	0.5488
392	0.247804	0.247245	0.5488
393	0.247803	0.247243	0.5488
394	0.247802	0.247242	0.5488
395	0.247800	0.247240	0.5488
396	0.247799	0.247239	0.5488
397	0.247798	0.247237	0.5488
398	0.247796	0.247236	0.5488
399	0.247795	0.247235	0.5488
400	0.247794	0.247233	0.5488
401	0.247792	0.247232	0.5488
402	0.247791	0.247230	0.5488
403	0.247790	0.247229	0.5488
404	0.247788	0.247227	0.5488
405	0.247787	0.247226	0.5488
